iter	Passed	Remaining
834	20650	4080
835	20676	4056
836	20703	4031
837	20727	4007
838	20751	3982
839	20775	3957
840	20799	3932
841	20824	3907
842	20848	3882
843	20873	3858
844	20896	3833
845	20921	3808
846	20946	3783
847	20972	3759
848	20997	3734
849	21021	3709
850	21046	3684
851	21071	3660
852	21094	3635
853	21120	3610
854	21148	3586
855	21173	3561
856	21196	3536
857	21220	3511
858	21244	3487
859	21269	3462
860	21295	3437
861	21320	3413
862	21344	3388
863	21370	3363
864	21396	3339
865	21420	3314
866	21445	3289
867	21469	3264
868	21494	3240
869	21518	3215
870	21542	3190
871	21567	3165
872	21591	3141
873	21615	3116
874	21638	3091
875	21661	3066
876	21686	3041
877	21710	3016
878	21735	2992
879	21761	2967
880	21787	2942
881	21811	2918
882	21836	2893
883	21860	2868
884	21884	2843
885	21911	2819
886	21935	2794
887	21960	2769
888	21984	2745
889	22009	2720
890	22032	2695
891	22058	2670
892	22082	2645
893	22107	2621
894	22131	2596
895	22157	2571
896	22181	2547
897	22207	2522
898	22231	2497
899	22255	2472
900	22281	2448
901	22306	2423
902	22330	2398
903	22354	2373
904	22378	2349
905	22405	2324
906	22431	2300
907	22455	2275
908	22481	2250
909	22505	2225
910	22528	2200
911	22554	2176
912	22579	2151
913	22605	2126
914	22629	2102
915	22653	2077
916	22680	2052
917	22705	2028
918	22729	2003
919	22756	1978
920	22780	1953
921	22805	1929
922	22831	1904
923	22859	1880
924	22883	1855
925	22908	1830
926	22935	1806
927	22960	1781
928	22985	1756
929	23010	1732
930	23035	1707
931	23060	1682
932	23085	1657
933	23109	1633
934	23134	1608
935	23160	1583
936	23186	1558
937	23211	1534
938	23236	1509
939	23260	1484
940	23287	1460
941	23311	1435
942	23335	1410
943	23363	1385
944	23387	1361
945	23413	1336
946	23439	1311
947	23466	1287
948	23490	1262
949	23514	1237
950	23538	1212
951	23563	1188
952	23590	1163
953	23615	1138
954	23639	1113
955	23664	1089
956	23691	1064
957	23718	1039
958	23743	1015
959	23766	990
960	23791	965
961	23817	940
962	23840	916
963	23866	891
964	23890	866
965	23915	841
966	23942	817
967	23967	792
968	23992	767
969	24015	742
970	24040	718
971	24066	693
972	24090	668
973	24114	643
974	24137	618
975	24163	594
976	24188	569
977	24214	544
978	24238	519
979	24263	495
980	24289	470
981	24314	445
982	24340	420
983	24364	396
984	24390	371
985	24416	346
986	24441	321
987	24466	297
988	24491	272
989	24516	247
990	24542	222
991	24569	198
992	24597	173
993	24622	148
994	24648	123
995	24672	99
996	24696	74
997	24722	49
998	24748	24
999	24771	0
